Ticker,Company,Type,Price,Market Cap,urls,Description,Phase 3 Ready,Phase 2b Ready,alzheimer
NPTX,Neuropathix Inc,Common Stock,0.0482,$3.84M,https://finance.yahoo.com/quote/NPTX/profile?p=NPTX,"Neuropathix, Inc., a biopharmaceutical company, focuses on the discovery, development, and commercialization of novel therapeutics from its proprietary cannabinoid product platform. It engages in the research and development of chemical entities, such as KLS-13019, KLS-13023, and KLS-13022, as well as its related molecules; and synthetic cannabidiol therapeutics through pre-clinical drug discovery and development processes for use in the disease indications of chemotherapy induced peripheral neuropathy, overt hepatic encephalopathy, mild traumatic brain injury, and chronic traumatic encephalopathy. The company was formerly known as Kannalife, Inc. and changed its name to Neuropathix, Inc. in November 2020. Neuropathix, Inc. was founded in 2010 and is based in Doylestown, Pennsylvania.",0,0,0
ISCO,International Stem Cell Corp,Common Stock,0.51,$4.21M,https://finance.yahoo.com/quote/ISCO/profile?p=ISCO,"International Stem Cell Corporation focuses on the development of therapeutic and biomedical products worldwide. The company's products are based on human parthenogenetic stem cells, a proprietary type of pluripotent stem cell. It develops various cell types, including neural stem cells for the treatment of Parkinson's disease and other central nervous system disorders; liver cells to treat various congenital and acquired liver diseases; and islet cells for the treatment of diabetes. The company also develops, manufactures, and markets skincare products and human cell culture products. Its human cell culture products include human skin cells and reagents for the study of skin disease, toxicology, or wound healing; human cells from the heart and blood vessels, and reagents to study cardiovascular disease and cancer; human bronchial and tracheal cell lines for the study of toxicity, cystic fibrosis, asthma, and pathogenesis; and human mammary epithelial cell lines for the study of breast cancer, three dimensional culture, and carcinogen screening. The company's human cell culture products also comprise adult stem cells and reagents for regenerative medicine; human prostate cells and specialized medium to study prostate disease; human renal and bladder cells and media to study renal and bladder diseases; human corneal cells and media for the study of corneal disease; human female reproductive system cells for the study of cellular physiology; human skeletal muscle cells for the study of biology, diabetes, insulin receptor studies, muscle metabolism, muscle tissue repair, and myotube development; and other cell culture reagents and supplements for the growth, staining, and freezing of human cells. It sells skincare products through a website and professional channels; and human cell culture products through its sales force, OEM partners, and brand distributors. The company was incorporated in 2005 and is headquartered in Carlsbad, California.",0,0,0
NXEN,Nexien BioPharma Inc,Common Stock,0.081,$4.70M,https://finance.yahoo.com/quote/NXEN/profile?p=NXEN,"Nexien BioPharma, a pharmaceutical company, engages in the formulation, development, and commercialization of cannabinoid-based pharmaceuticals, and pre-clinical and clinical pathways to address a range of medical conditions and disorders. The company was formerly known as Intiva BioPharma Inc. and changed its name to Nexien BioPharma, Inc. in September 2018. Nexien BioPharma, Inc. is based in Glendale, Colorado.",0,0,0
FNNZF,FinCanna Capital Corp,Common Stock,0.0471,$4.87M,https://finance.yahoo.com/quote/FNNZF/profile?p=FNNZF,"FinCanna Capital Corp. operates as a royalty company for the licensed cannabis industry in the United States. It provides financing for companies operating in the cannabis sector. The company has royalty agreements with Green Compliance Inc.; QVI, Inc.; and Cultivation Technologies, Inc. FinCanna Capital Corp. was incorporated in 2016 is headquartered in Vancouver, Canada.",0,0,0
VNNYF,Vinergy Capital Inc,Common Stock,0.0679,$4.98M,https://finance.yahoo.com/quote/VNNYF/profile?p=VNNYF,"Vinergy Capital Inc. does not have significant operations. Previously, it was engaged in the development of cannabis products. The company was formerly known as Vinergy Cannabis Capital Inc. and changed its name to Vinergy Capital Inc. in March 2021. Vinergy Capital Inc. is headquartered in Vancouver, Canada.",0,0,0
QRON,Qrons Inc,Common Stock,0.44,$5.85M,https://finance.yahoo.com/quote/QRON/profile?p=QRON,"Qrons Inc., a biotechnology company, develops biotech products, treatments, and technologies that to combat neuronal diseases. Its product candidates include QS100, an injury specific, 3D printable, implantable mesenchymal stem cells (MSCs)-synthetic hydrogel to treat penetrating brain injuries; and QS200, an injectable MSCs-synthetic hydrogel for the treatment of diffused injuries. The company was formerly known as BioLabMart Inc. and changed its name to Qrons Inc. in August 2017. Qrons Inc. was incorporated in 2016 and is based in New York, New York.",0,0,0
IPCIF,IntelliPharmaCeutics International Inc,Common Stock,0.1605,$5.96M,https://finance.yahoo.com/quote/IPCIF/profile?p=IPCIF,"Intellipharmaceutics International Inc., a pharmaceutical company, researches, develops, and manufactures novel and generic controlled-release and targeted-release oral solid dosage drugs in the United States. It develops various drug delivery systems, product candidates, and a pipeline of products based on its patented Hypermatrix technology in various therapeutic areas, including neurology, cardiovascular, gastrointestinal tract, diabetes, and pain. The company offers Focalin XR, a dexmethylphenidate hydrochloride extended-release capsule for hyperactivity disorder; Keppra XR, a levetiracetam extended-release tablet for the treatment of partial onset seizures in patients with epilepsy; Glucophage XR, a metformin hydrochloride extended-release tablet that treats type 2 diabetes; and Effexor XR, a venlafaxine hydrochloride extended-release capsule to treat depression. It also provides Seroquel XR, a quetiapine fumarate extended-release tablet for the treatment of schizophrenia, bipolar disorder, and major depressive disorders; Pristiq, a desvenlafaxine extended-release tablet to treat depression; and Regabatin XR and Lyrica, a pregabalin extended-release capsule for the management of neuropathic pain. In addition, the company offers Protonix, a pantoprazole sodium delayed-release tablet to treat gastroesophageal reflux disease; Lamictal XR, a lamotrigine extended release tablet to treat epilepsy; Oleptro, a trazodone hydrochloride extended-release tablet to treat depression; Coreg CR, a carvedilol phosphate extended-release capsule for heart failure and hypertension; OxyContin, an oxycodone hydrochloride controlled-release capsule for pain; and Ranexa, a ranolazine extended release tablet for chronic angina. Further, it is developing Oxycodone ER, an extended release tablet for relief of pain. The company has a license and commercialization agreement with Par Pharmaceutical Inc. The company was founded in 1998 and is based in Toronto, Canada.",0,0,0
WPHM,Winston Pharmaceuticals Inc,Common Stock,0.08,$6.19M,https://finance.yahoo.com/quote/WPHM/profile?p=WPHM,"Winston Pharmaceuticals, Inc., a pharmaceutical company, discovers, develops, and commercializes therapeutics for pain management. It focuses on pain indications, such as episodic cluster headache, chronic migraine headache, neuropathic pain syndromes, osteo-and rheumatoid arthritis, and pain and inflammation in inflammatory bowel disease, as well as niche indications. Winston Pharmaceuticals, Inc. was formerly known as Winston Laboratories, Inc. and changed its name to Winston Pharmaceuticals, Inc. in November 2008. The company was incorporated in 1998 and is headquartered in Vernon Hills, Illinois.",0,0,0
BIOIF,Biome Grow Inc,Common Stock,0.06144,$6.38M,https://finance.yahoo.com/quote/BIOIF/profile?p=BIOIF,"Biome Grow Inc. focuses on the cannabis business. The company is headquartered in Toronto, Canada.",0,0,0
HCYT,H-CYTE Inc,Common Stock,0.045,$6.51M,https://finance.yahoo.com/quote/HCYT/profile?p=HCYT,"H-CYTE, Inc., a biopharmaceutical company, develops and delivers various treatments for patients with chronic respiratory and pulmonary disorders. The company develops and implements treatment options in autologous cellular therapy to treat chronic lung disorders. It has a product supply agreement with Rion, LLC to develop and distribute biologics for chronic obstructive pulmonary disease. The company is headquartered in Tampa, Florida.",0,0,0
MGWFF,Leaf Green World Inc,Common Stock,0.03726,$6.52M,https://finance.yahoo.com/quote/MGWFF/profile?p=MGWFF,"Maple Leaf Green World Inc., together with its subsidiaries, focuses on the cannabis and industry in North America. The company was formerly known as Maple Leaf Reforestation Inc. and changed its name to Maple Leaf Green World Inc. in October 2012. Maple Leaf Green World Inc. is headquartered in Calgary, Canada.",0,0,0
MMJFF,Matica Enterprises Inc,Common Stock,0.0286,$8.14M,https://finance.yahoo.com/quote/MMJFF/profile?p=MMJFF,"Matica Enterprises Inc. engages in the medical marijuana business. It offers IONIC MIST, a spray mist that captures and neutralizes cannabis smoke odours. The company was formerly known as Matica Graphite Inc. and changed its name to Matica Enterprises Inc. in July 2014. Matica Enterprises Inc. was incorporated in 2007 and is based in Toronto, Canada.",0,0,0
CVGRF,City View Green Holdings Inc,Common Stock,0.0487,$8.62M,https://finance.yahoo.com/quote/CVGRF/profile?p=CVGRF,"City View Green Holdings Inc. intends to produce cannabis-infused food, oils, distillates, and water-soluble products for the food and beverage markets. The company is headquartered in Toronto, Canada.",0,0,0
CBDY,Target Group Inc,Common Stock,0.018,$9.18M,https://finance.yahoo.com/quote/CBDY/profile?p=CBDY,"Target Group Inc. cultivates, processes, and distributes curated cannabis products for the adult-use medical and recreational cannabis market in Canada. Its products include cannabis flower and extract pods for vaporizer use, cannabis pre-rolls, k-cup infused coffee and tea pods, infused cannabis beverages and edibles, infused topical products, and CBD wellness products. The company also offers Wisp, a single-use pre-measured pod and vaporizer system for consumers involved in vaporizing natural herbs, including cannabis. It has a collaboration agreement with cGreen, Inc for manufacturing and distributing the patent-pending THC antidote True Focus in the United States, Europe, and the Caribbean; and distribution, collaboration, and licensing agreement with Serious Seeds B.V. The company was formerly known as Chess Supersite Corporation and changed its name to Target Group Inc. in July 2018. Target Group Inc. was incorporated in 2013 and is based in Hamilton, Canada.",0,0,0
TDLAF,TBG Diagnostics Ltd,Common Stock,0.0471,$10.25M,https://finance.yahoo.com/quote/TDLAF/profile?p=TDLAF,"TBG Diagnostics Limited, a molecular diagnostics company, develops, manufactures, and markets molecular diagnostics kits, instruments, and services in Taiwan and China. It provides ExProbe HLA and HPA kits for human leukocyte antigen (HLA) and human platelet antigens (HPA) allele genotyping, which uses real time polymerase chain reaction (PCR) techniques with sequence specific primers and probes; Morgan SSP HLA kits for determining HLA alleles using PCR techniques with sequence specific primers; HLAssure SBT HLA Kits for transplantation donor selection; and AccuType SBT analysis software to analyze sequences from all ab1 based files. The company also offers Morgan SSPal HLA Typing Analysis Software, a gel result interpretation software; HLA typing services that offer low to high resolution using PCR fragment analysis (SSP) and DNA sequencing (SBT); QPCR Q6000, a six-channel real time PCR instrument; QzNGS NGS that provides high resolution HLA genotyping; and COVID-19 testing kits. It serves clinical labs, blood centers, and bone marrow registry labs. The company was formerly known as Progen Pharmaceuticals Limited and changed its name to TBG Diagnostics Limited in December 2015. TBG Diagnostics Limited was incorporated in 1989 is based in Greenslopes, Australia.",0,0,0
CANB,Can B Corp,Common Stock,0.66,$10.58M,https://finance.yahoo.com/quote/CANB/profile?p=CANB,"Can B Corp. produces and sells cannabidiol (CBD) based products in the United States. It provides CBD products derived from hemp, including oils, creams, moisturizers, isolate, gel caps, spa products, and concentrates through its Website and vending machines, and other medical professionals. The company was formerly known as Canbiola Inc. and changed its name to Can B Corp. in February 2020. Can B Corp. was incorporated in 2005 and is based in Hicksville, New York.",0,0,0
BBRRF,Blueberries Medical Corp,Common Stock,0.08,$11.10M,https://finance.yahoo.com/quote/BBRRF/profile?p=BBRRF,"Blueberries Medical Corp. engages in the growth, cultivation, development, production, and supply of medicinal cannabis and related products in Colombia. It offers medicinal-grade cannabis oil extracts and related products. The company is headquartered in BogotÃ¡, Colombia.",0,0,0
SRUTF,Sproutly Canada Inc,Common Stock,0.04095,$11.18M,https://finance.yahoo.com/quote/SRUTF/profile?p=SRUTF,"Sproutly Canada Inc. produces and supplies water-soluble cannabis solutions and bio-natural oils to beverage and consumable markets in Canada. It offers its products under the Caliber brand name. The company is based in Vancouver, Canada.",0,0,0
EXDI,Exactus Inc,Common Stock,0.101,$11.38M,https://finance.yahoo.com/quote/EXDI/profile?p=EXDI,"Exactus, Inc. produces and supplies hemp and hemp-derived products in the United States. It provides cannabidiol (CBD) feminized genetics, high cannabigerol (CBG) feminized genetics, hemp-derived specialty ingredients, and white-label products to the cosmetic, wellness, food, beverage, pharmaceutical, and pet industries. The company's specialty ingredients include CBD, CBG, CBN, and CBC isolates; CBD and CBG distillates; CBD water-soluble; CBD and CBG biomass; CBD AND CBG flowers; and CBD crude oil. It also provides a range of custom manufactured specialty cannabinoid products, such as skincare products, pain creams, tinctures, bath bombs, soft gels, balms, pet products, supplements, and other products. The company is based in Delray Beach, Florida. Exactus, Inc. is a subsidiary of Ceed2Med, LLC.",0,0,0
MRVFF,Nuvo Pharmaceuticals Inc,Common Stock,1.05,$11.50M,https://finance.yahoo.com/quote/MRVFF/profile?p=MRVFF,"Nuvo Pharmaceuticals Inc. provides prescription and non-prescription products for pain, allergy, neurology, and dermatology worldwide. The company operates in three segments: Commercial Business, Production and Service Business, and Licensing and Royalty Business. It offers Blexten, an antihistamine drug for the symptomatic relief of allergic rhinitis and chronic spontaneous urticarial; Cambia, a nonsteroidal anti-inflammatory drug for migraine; Suvexx/Treximet migraine medicine; NeoVisc viscosupplement for knee osteoarthritis; and Resultz/FullMarks/LAUSBUB for head lice infestations. The company also provides Bezalip SR for patients with high cholesterol or high levels of triglycerides; Proferrin, an iron supplement for the prevention and treatment of iron deficiency; Fiorinal 1 and Fiorinal C1 for the relief of tension-type headaches; Viskazide and Visken antihypertensive agents; Collatamp G for surgical implantation during surgery; PegaLAX, a laxative for the treatment of occasional constipation and irregularity; Mutaflor, a probiotic for the management and relief of chronic constipation and associated abdominal pain and cramps; MoviPrep for the cleansing of the colon in preparation for colonoscopy; Uracyst for mild to severe GAG layer damage of the urinary bladder; and Soriatane to treat psoriasis and other keratinization disorders. In addition, it offers Pennsaid and Pennsaid 2% topical treatments for osteoarthritic pain; Vimovo for relief of arthritis symptoms; SYNERA/RAPYDAN topical patches used to help prevent pain associated with needle sticks and other superficial skin procedures; Yosprala for the prevention of heart attacks and strokes; and Heated Lidocaine/Tetracaine Patch, a topical patch applied prior to painful medical procedures. The company was formerly known as Nuvo Research Inc. and changed its name to Nuvo Pharmaceuticals Inc. in March 2016. Nuvo Pharmaceuticals Inc. was founded in 1983 and is headquartered in Mississauga, Canada.",0,0,0
NMLSF,Nova Mentis Life Sciences Corp,Common Stock,0.11,$12.09M,https://finance.yahoo.com/quote/NMLSF/profile?p=NMLSF,"Nova Mentis Life Science Corp., through its subsidiaries, engages in the research and development of medicinal psychedelics for neuroinflammatory conditions with a focus on autism spectrum disorder in Canada. It is also involved in the research and development of psychedelic medicines for metabolic indications, such as obesity and diabetes; and development of cannabis products. The company was formerly known as Liberty Leaf Holdings Ltd. and changed its name to Nova Mentis Life Science Corp. in June 2020. Nova Mentis Life Science Corp. was incorporated in 2004 and is headquartered in Vancouver, Canada.",0,0,0
FIORF,Fiore Cannabais Ltd,Common Stock,0.0731,$12.49M,https://finance.yahoo.com/quote/FIORF/profile?p=FIORF,"Fiore Cannabis Ltd. engages in the cultivation and production of medical and recreational marijuana in Canada and the United States. The company was formerly known as Citation Growth Corp. and changed its name to Fiore Cannabis Ltd. in November 2020. Fiore Cannabis Ltd. was incorporated in 2007 and is headquartered in Kelowna, Canada.",0,0,0
AQSZF,Aequus Pharmaceuticals Inc,Common Stock,0.1,$12.52M,https://finance.yahoo.com/quote/AQSZF/profile?p=AQSZF,"Aequus Pharmaceuticals Inc., a specialty pharmaceutical company, develops and commercializes drugs in Canada. It focuses on various therapeutic areas, including neurology, ophthalmology, and transplantation. The company markets Vistitan, an ophthalmology product to reduce elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; Tacrolimus IR, an immunosuppressant for the treatment and prevention of acute rejection following organ transplantation; Evolve dry eye products for various symptoms involved with dry eye disease and blepharitis, including discomfort, stinging, burning, and dryness; and preservative free ophthalmic product. Its development stage product includes Topiramate XR and Oxcarbazepine XR extended-release oral tablets for the treatment of epilepsy; AQS1303, a transdermal pyridoxine/doxylamine for the treatment of nausea and vomiting of pregnancy; and AQS1304, a cannabinoid-based therapeutics for neurological disorders. The company has collaboration agreements with Sandoz Canada, Inc. for the promotion of Vistitan; Supernus Pharmaceuticals, Inc. for marketing of extended-release anti-epileptic drugs; and Medicom Healthcare Ltd. to focus on preservative free therapies in ophthalmology. Aequus Pharmaceuticals Inc. was incorporated in 2013 and is headquartered in Vancouver, Canada.",0,0,0
SNOA,Sonoma Pharmaceuticals Inc,Common Stock,6.53,$12.86M,https://finance.yahoo.com/quote/SNOA/profile?p=SNOA,"Sonoma Pharmaceuticals, Inc., develops and produces stabilized hypochlorous acid (HOCl) products for various applications, including wound care, animal health care, eye care, oral care, and dermatological conditions in the United States and internationally. The company offers Epicyn, an antimicrobial facial cleanser; Levicyn, a hypochlorous acid (HOCl) based prescription product to manage and relieve burning, itching, and pain experienced with various types of dermatoses; Celacyn gel, a product indicated to promote healing through the management of new and old scars resulting from surgical procedures and trauma wounds or burns; SebuDerm, a product indicated to manage and relieve the burning, itching, pain, and distraction associated with seborrhea and seborrheic dermatitis; and Ceramax, a Lipogrid based skin barrier cream for management of dry itchy skin, minor skin irritations, rashes, and inflammation caused by various skin conditions, as well as Loyon for the management of skin scaling. It also provides Acuicyn, a HOCl-based product indicated to relieve itch and inflammation while helping to keep areas around the eye clean; and Microcyn, a line of products designed to stimulate expedited healing by targeting various pathogens, as well as antibiotic-resistant strains that slow natural healing of wounds. In addition, the company offers MicrocynAH and MicrocynVS, which are HOCl-based solutions designed to relieve common symptoms of hot spots, scratches, skin rashes post-surgical sites, and irritated animal skin for healing; Pediacyn, Epicyn, Gramaderm, and Microdacyn for dermatoses, scar management, and acne; and Sinudox for nasal irrigation, including moistening of cuts, abrasions, and lacerations located in the nasal cavity. The company was formerly known as Oculus Innovative Sciences, Inc. and changed its name to Sonoma Pharmaceuticals, Inc. in December 2016. Sonoma Pharmaceuticals, Inc. was incorporated in 1999 and is based in Woodstock, Georgia.",0,0,0
OWPC,One World Pharma Inc,Common Stock,0.2205,$13.52M,https://finance.yahoo.com/quote/OWPC/profile?p=OWPC,"One World Pharma, Inc. focuses on producing and manufacturing raw cannabis and hemp plant ingredients for medical and industrial uses worldwide. It intends to cultivate, process, and supply crude cannabis oil, distillate, and isolate to customers' specification, as well as hemp plant biomass. The company was founded in 2017 and is headquartered in Las Vegas, Nevada.",0,0,0
THCBF,THC Biomed International Ltd,Common Stock,0.085,$13.54M,https://finance.yahoo.com/quote/THCBF/profile?p=THCBF,"THC Biomed Intl Ltd. produces and sells medical and recreational cannabis in Canada. The company conducts research and development of products and services related to the medical cannabis industry. It also offers cannabis beverage under the THC KISS brand name, as well as pure cannabis sticks. The company was founded in 2012 and is headquartered in Kelowna, Canada.",0,0,0
MHTX,Manhattan Scientifics Inc,Common Stock,0.025,$14.68M,https://finance.yahoo.com/quote/MHTX/profile?p=MHTX,"Manhattan Scientifics, Inc., a technology incubator, develops and commercializes life-enhancing technologies in the United States. It develops technologies in the areas of nano-technologies and nano-medicine. The company was formerly known as Grand Enterprises, Inc. Manhattan Scientifics, Inc. was founded in 1992 and is based in New York, New York.",0,0,0
SBUDF,Sugarbud Craft Growers Corp,Common Stock,0.0319,$14.98M,https://finance.yahoo.com/quote/SBUDF/profile?p=SBUDF,"SugarBud Craft Growers Corp. engages in the development, production, distribution, and sale of cannabis products in Canada. The company was formerly known as Relentless Resources Ltd. and changed its name to SugarBud Craft Growers Corp. in October 2018. SugarBud Craft Growers Corp. is headquartered in Calgary, Alberta.",0,0,0
GBLX,GB Sciences Inc,Common Stock,0.0496,$14.99M,https://finance.yahoo.com/quote/GBLX/profile?p=GBLX,"GB Sciences, Inc. engages in the research and development of cannabinoid medicines in North America and Europe. Its intellectual property covers a range of conditions and programs in pre-clinical animal stage for Parkinson's disease, neuropathic pain, and cardiovascular therapeutic programs. The company was formerly known as Growblox Sciences, Inc. and changed its name to GB Sciences, Inc. in October 2016. GB Sciences, Inc. was incorporated in 2001 and is based in Las Vegas, Nevada.",0,0,0
BICTF,Biocure Technology Inc,Common Stock,0.145,$15.46M,https://finance.yahoo.com/quote/BICTF/profile?p=BICTF,"Biocure Technology Inc. develops and commercializes biopharmaceutical technologies for uses in recombinant and ranibizumab. The company is developing Interferons- Ã for the treatment of multiple sclerosis; Ranibizumab, a monoclonal antibody fragment for the treatment of macular degeneration, as well as to treat a type of eye problem known as macular edema; and Filgrastim to treat neutropenia, a lack of white blood cells caused by cancer, bone marrow transplant, chemotherapy, or by other conditions. It is also developing CAR T Cell Therapy that identifies and destroys cancer cells; a foot and mouth disease vaccine; and hair growth products. Biocure Technology Inc. was founded in 2005 and is headquartered in Vancouver, Canada.",0,0,0
BSTG,Biostage Inc,Common Stock,1.65,$15.49M,https://finance.yahoo.com/quote/BSTG/profile?p=BSTG,"Biostage, Inc., a biotechnology company, engages in developing bioengineered organ implants based on its Cellframe technology. The company's Cellframe technology comprises a biocompatible scaffold that is seeded with the recipient's own stem cells. It is developing its Cellframe technology to treat life-threatening conditions of the esophagus, bronchus, or trachea. The company was formerly known as Harvard Apparatus Regenerative Technology, Inc. and changed its name to Biostage, Inc. in March 2016. Biostage, Inc. was founded in 2007 and is headquartered in Holliston, Massachusetts.",0,0,0
BIOAF,biOasis Technologies Inc,Common Stock,0.22146,$15.87M,https://finance.yahoo.com/quote/BIOAF/profile?p=BIOAF,"Bioasis Technologies Inc., a development stage biopharmaceutical company, engages in the research and development of products for the diagnosis and treatment of neurological diseases and disorders. It is developing xB3, a platform technology for the delivery of therapeutics across the blood-brain barrier (BBB); and the treatment of central nervous system disorders, including brain cancers, and metabolic and neurodegenerative diseases. The company's in-house development programs develop symptomatic and disease-modifying treatments for brain metastases (xB3-002), glioblastoma (xB3-002), and neurodegenerative diseases (xB3-007). Bioasis Technologies Inc. has a research collaboration with Aposense Ltd. to focus on the delivery of siRNA into the brain. The company was founded in 2007 and is based in New Haven, Connecticut.",0,0,0
